,Nutlin-3,Nilotinib,RAF265,PHA-665752,PD-0325901,PLX4720,PD-0332991,LBW242,Paclitaxel,AEW541,TAE684,TKI258,AZD0530,Lapatinib,PF2341066,Topotecan,Irinotecan,17-AAG,Sorafenib,L-685458,AZD6244,ZD-6474,Panobinostat,Erlotinib
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,6.765108634369999,-3.8390660538699994,0.402452574279,4.25682385644,-1.9340116251,4.74394861485,4.4749607134,,-3.23208848676,3.48830187455,4.83190880219,1.59348739032,,3.29134242948,1.31876428564,-0.955290451889,-0.793322865582,,4.58981810327,6.405393073019999,0.918395127866,0.713240621116,-3.9809415684599996,
PC3_PROSTATE,8.598242440269999,,2.96569110607,8.23953733931,8.25177146511,3.76044540896,8.79760991576,5.12093283602,-4.91545938894,,2.7860749761299997,,1.924611316,,3.37032667515,,-1.27221882173,,3.93730101422,5.478557896360001,7.59112285391,2.32622420559,-3.13299846432,4.8910602471199995
SW900_LUNG,7.93275926238,5.1604220103800005,3.36298782893,5.756969521749999,2.71797175242,,,4.843282139419999,,4.22044772552,6.74724282665,8.48997787346,,4.1840815083,,2.02244906317,,-0.7812675264810001,7.85160560505,,7.86435426513,,0.155310328314,6.68307181111
NCIH2030_LUNG,7.498209965419999,3.33513499911,-0.0951864935735,6.28826946993,3.12380733088,3.83906064178,4.19007331948,5.870546988659999,-5.1560324806699995,2.59192663263,2.73886616872,2.15594709811,0.808401514224,1.9194610963599998,3.16737558016,-2.7186139585699998,-0.711661438985,-4.10256445004,2.8068985063599996,5.46287964594,6.7965781093699995,,-2.6008967978,
PK59_PANCREAS,,3.24191119227,1.1733803006399999,5.19190221761,-0.8113365445309999,4.18026853774,3.6830013377099995,,,2.67532357688,,3.69619719708,2.93915958208,2.76985303963,,0.201275356415,0.471098632201,-2.2500209804900004,3.22531370169,3.6240470333699997,,5.181609281469999,-2.8932197579100003,4.393829090940001
COLO741_SKIN,,,,3.79339224802,-0.503828209972,1.9315219835900004,,2.39425252053,-5.44532640455,1.8741597639900003,3.33975417264,2.57141931861,8.298414070560002,,6.18297721961,-0.9884974377779999,,0.715016774605,7.71584359249,3.56439877013,1.32437719583,5.99743716426,-3.0305022068799996,
NCIH1355_LUNG,,5.736996292840001,0.542560405635,,-0.95410841594,4.13252579134,3.24900816377,7.82860241852,-4.44945902178,,0.826085786868,,3.47419304915,2.7872513130699996,3.25455210413,2.93445014018,,,,5.61804467032,2.3315873223400003,3.58645828144,-2.43185791218,
NCIH3255_LUNG,6.463159795299999,2.6132928514800002,3.6742077942,6.61923161327,2.64979969293,4.87117913136,8.760790729610001,5.35901423997,1.20101037344,,,5.38300158862,,-1.7309142973900002,1.80712621998,1.2259890611700002,-1.18825837298,-0.852903462547,,7.25235197379,3.5400449794,-3.27474853095,-3.9318161401,-3.7073440304500003
RKN_OVARY,2.9896849949,3.18186385353,2.49585053253,,-0.9581020819439999,4.3943763168,3.12046368883,,-6.07895509619,3.8010781309099997,3.27888642427,3.94073791936,3.5165486891199995,6.01259626934,,-1.2322798160700001,-1.8320034245400003,,3.5923459679400005,7.19636799836,0.8560335327590001,4.99095755521,-2.7110630436900003,4.91967320893
OE33_OESOPHAGUS,6.80561276635,4.67634622093,1.4634445235100002,3.65868942611,0.35519731624,5.23682247745,3.04423123698,4.77712545209,-6.943264139139999,2.38636181142,1.5646537771,4.16856475453,1.8463344163,1.85465192482,,-2.12471512148,,-3.84428108061,8.310985684630001,,,3.75436219255,-4.69244932083,2.6227471067900003
