,Nutlin-3,Nilotinib,RAF265,PHA-665752,PD-0325901,PLX4720,PD-0332991,LBW242,Paclitaxel,AEW541,TAE684,TKI258,AZD0530,Lapatinib,PF2341066,Topotecan,Irinotecan,17-AAG,Sorafenib,L-685458,AZD6244,ZD-6474,Panobinostat,Erlotinib
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,6.76510863437,-3.83906605387,0.402452574279,4.25682385644,-1.9340116251,4.74394861485,4.4749607134,4.50321139861,-3.23208848676,3.48830187455,4.83190880219,1.59348739032,0.180220974024,3.29134242948,1.31876428564,-0.955290451889,-0.793322865582,0.120616852254,4.58981810327,6.40539307302,0.918395127866,0.713240621116,-3.98094156846,3.63246002087
PC3_PROSTATE,8.59824244027,5.32071373104,2.96569110607,8.23953733931,8.25177146511,3.76044540896,8.79760991576,5.12093283602,-4.91545938894,3.53460375449,2.78607497613,3.88579281225,1.924611316,4.45333144116,3.37032667515,0.361912188459,-1.27221882173,0.477765284291,3.93730101422,5.47855789636,7.59112285391,2.32622420559,-3.13299846432,4.89106024712
SW900_LUNG,7.93275926238,5.16042201038,3.36298782893,5.75696952175,2.71797175242,6.52743883816,4.90814648122,4.84328213942,-5.28915703765,4.22044772552,6.74724282665,8.48997787346,3.93615596834,4.1840815083,8.50743821629,2.02244906317,,-0.781267526481,7.85160560505,7.91766117501,7.86435426513,9.40087160453,0.155310328314,6.68307181111
NCIH2030_LUNG,7.49820996542,3.33513499911,-0.0951864935735,6.28826946993,3.12380733088,3.83906064178,4.19007331948,5.87054698866,-5.15603248067,2.59192663263,2.73886616872,2.15594709811,0.808401514224,1.91946109636,3.16737558016,-2.71861395857,-0.711661438985,-4.10256445004,2.80689850636,5.46287964594,6.79657810937,1.88966400726,-2.6008967978,2.4914423246
OE33_OESOPHAGUS,6.80561276635,4.67634622093,1.46344452351,3.65868942611,0.35519731624,5.23682247745,3.04423123698,4.77712545209,-6.94326413914,2.38636181142,1.5646537771,4.16856475453,1.8463344163,1.85465192482,0.095166627288,-2.12471512148,-3.32587167323,-3.84428108061,8.31098568463,7.50157216568,3.50720699646,3.75436219255,-4.69244932083,2.62274710679
KYSE140_OESOPHAGUS,4.90810024947,,,1.55191269554,0.966108122235,2.64922665949,,4.90096988783,-4.22686443817,0.893924167456,2.364001289,1.43951662465,0.76675195954,-0.093867392537,3.45278434382,-0.716287373888,,0.53906668872,4.34217716403,,4.16915284381,0.827085924656,-2.8053143233,-0.246293518569
MIAPACA2_PANCREAS,7.3500764342,3.86237211909,1.92192513503,7.33387516272,-3.44712620696,5.21982290127,4.38331487423,5.06585330475,-7.81456819818,1.40495416978,0.364026288319,2.57267925641,2.53907490789,3.36815953425,2.00361785748,-3.17619974685,-2.1352934991,-4.18294975167,2.77839791286,6.661635284,-0.737757601214,2.62686516038,-5.71111792834,6.26738326675
EFO27_OVARY,8.72597080553,5.28814324053,-0.136650441177,9.34886484484,4.50151187993,,8.1155987812,7.37173790323,-4.40709830345,5.15267116,3.26683325592,3.79972880465,1.52670737524,2.54232501245,3.75916597977,0.0682656657355,-0.951012955803,-1.61935201576,3.3652626724,8.72376340493,4.00714749275,,-5.4903961934,2.53877689073
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.901294170945,1.42771917803,-2.23085170211,1.53546391,3.02301408721,2.58084350762,0.152502366168,4.19876643728,-9.68686717244,2.04305461351,-0.259918010303,-0.276951612576,2.79187072227,2.65845610094,1.26578998604,-4.78337360943,-4.76365748184,-1.18548805142,2.49454718793,-1.38987710134,3.80053472805,2.36645650872,-6.39208184723,1.78695690972
MHHES1_BONE,4.12781165475,1.12167104329,-1.21703786929,1.20689145668,-4.95688736398,3.44282826026,1.27588530344,4.10298375911,-8.45383089452,0.843525432647,-0.675946826538,2.86669018465,-0.0230150561185,1.92792505835,2.21922974778,-5.36538852384,-4.48982791896,-2.64510126446,2.18693459785,2.8121224028,-0.520303432229,2.8415259276,-3.89994369102,2.8771138977
